"Timestamp","Date","Author","Reviewer","Branch","PassedReview","ReviewMinutes"
"11/15/2017 8:55:05",2017-11-15,"A1","R1",1430,"no",37
"11/16/2017 8:20:34",2017-11-16,"A1","R1",1482,"yes",14
"11/20/2017 12:26:56",2017-11-20,"A2","R2",1511,"yes",20
"11/20/2017 12:27:33",2017-11-20,"A2","R2",1529,"yes",15
"11/21/2017 7:37:00",2017-11-21,"A1","R1",1530,"yes",15
"11/22/2017 10:05:19",2017-11-22,"A1","R1",1517,"yes",30
"11/22/2017 10:33:29",2017-11-22,"A1","R1",1512,"yes",5
"11/22/2017 10:49:30",2017-11-22,"A1","R1",1520,"yes",15
"11/22/2017 11:20:42",2017-11-22,"A1","R1",1527,"yes",2
"11/23/2017 9:19:37",2017-11-23,"A1","R1",1521,"yes",12
"11/23/2017 13:56:26",2017-11-23,"A2","R2",1507,"yes",10
"11/23/2017 13:56:48",2017-11-23,"A2","R2",1531,"yes",5
"11/23/2017 13:57:10",2017-11-23,"A2","R2",1551,"yes",15
"11/27/2017 10:25:19",2017-11-27,"A1","R1",1483,"no",66
"11/27/2017 10:28:50",2017-11-27,"A2","R2",1553,"yes",10
"11/27/2017 11:25:26",2017-11-27,"A2","R2",1554,"yes",20
"11/28/2017 8:03:56",2017-11-28,"A1","R1",1437,"yes",25
"11/28/2017 10:36:22",2017-11-28,"A1","R1",1518,"yes",7
